WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,
1,1975,Albacete,Pegaso,3-1,Mariano Andrés Mendoza,José Sánchez Fernández,Leopoldo Salvador Cifuentes,Juan Gualberto Casco Bogarín,José Antonio Morante Gutiérrez,Antonio Albaladejo Avilés,Emilio Rodríguez Andreu,Silvestre Ramón Calvo Bejarano,Luis Mayoral Grande,Juan Huerta Fernández,Nemesio Martín Montejo,Ángel Rodríguez Torres,,,,,,
0,1975,Pegaso,Albacete,2-0,Mariano Andrés Mendoza,Ángel Rodríguez Torres,Pedro García Bolaños,Juan Ignacio Rodríguez Rodríguez,José Antonio Almenara Montoya,José Antonio Morante Gutiérrez,Manuel Fernández Melgarejo,Antonio Albaladejo Avilés,Emilio Rodríguez Andreu,Luis Mayoral Grande,Bernardo Navazo Martín,,,,,,,
0,1977,Albacete,Burgos,0-1,Bernardo Aguirregomezcorta Arrizabalaga,Alfonso Martínez Flores,Hipólito Raúl Martín del Olmo,José Manuel Hernández Sanz,Leopoldo Salvador Cifuentes,Rafael Verdú Beramendi,Carlos Moreno León,Francisco Martínez Arguisuelas,Gerardo Ortega de Francisco,Jaime Samper Morenilla,Manuel Riego Romero,Esteban Cabrera Aldea,,,,,,
0,1977,Burgos,Albacete,2-0,Bernardo Aguirregomezcorta Arrizabalaga,Hipólito Raúl Martín del Olmo,José Manuel Hernández Sanz,Alfonso Martínez Flores,Leopoldo Salvador Cifuentes,Antonio Albaladejo Avilés,Rafael Verdú Beramendi,Carlos Moreno León,Francisco Martínez Arguisuelas,Gerardo Ortega de Francisco,Jaime Samper Morenilla,Manuel Riego Romero,,,,,,
0,1978,AP Almansa,Albacete,3-1,Bernardo Aguirregomezcorta Arrizabalaga,José Luis Calvoecheaga Cortada,José Catalán Catalán,Alfonso Martínez Flores,José Antonio García Picazo,José Luis Carro Pita,Rafael Verdú Beramendi,Francisco Martínez Arguisuelas,Ricardo Ciudad Fernández,Raimundo Aguilar Redondo,Jaime Samper Morenilla,,,,,,,
1,1978,Albacete,AP Almansa,3-0,Bernardo Aguirregomezcorta Arrizabalaga,José Luis Calvoecheaga Cortada,Leopoldo Salvador Cifuentes,Alfonso Martínez Flores,Juan Carlos Díaz Serrano,Rafael Verdú Beramendi,Francisco Martínez Arguisuelas,Ricardo Ciudad Fernández,Raimundo Aguilar Redondo,Isaac Jiménez Serrano,Jaime Samper Morenilla,Francisco Flores García,Jesús María Luengo Latorre,,,,,
1,1978,Albacete,Hércules,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Julio Jaime Puig Cossens,Leopoldo Salvador Cifuentes,Juan Carlos Díaz Serrano,José Antonio García Picazo,Rafael Verdú Beramendi,Jesús María Luengo Latorre,José Luis Carro Pita,Ricardo Ciudad Fernández,Francisco Flores García,Jaime Samper Morenilla,Francisco Martínez Arguisuelas,Raimundo Aguilar Redondo,,,,,
0,1978,Hércules,Albacete,2-0,Bernardo Aguirregomezcorta Arrizabalaga,José Antonio García Picazo,José Luis Calvoecheaga Cortada,Leopoldo Salvador Cifuentes,Alfonso Martínez Flores,Julio Jaime Puig Cossens,Rafael Verdú Beramendi,José Luis Carro Pita,Ricardo Ciudad Fernández,Jaime Samper Morenilla,Isaac Jiménez Serrano,Jesús María Luengo Latorre,Francisco Flores García,,,,,
0,1979,Onteniente,Albacete,1-0,José Villalba Arana,Juan Carlos Díaz Serrano,Manuel Sánchez Mendoza,José Luis Calvoecheaga Cortada,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Francisco Martínez Arguisuelas,Martín Monteagudo Monteagudo,José Luis Carro Pita,Emiliano Jiménez Santos,Ricardo Ciudad Fernández,Jaime Samper Morenilla,,,,,,
1,1979,Albacete,Onteniente,3-0,Carmelo Luján Aroca,Leopoldo Salvador Cifuentes,José Luis Calvoecheaga Cortada,Juan Carlos Díaz Serrano,Vicente Manuel Martí Company,Francisco Gómez López,Martín Monteagudo Monteagudo,Francisco Martínez Arguisuelas,Rafael Verdú Beramendi,Fernando González Crespo,Emiliano Jiménez Santos,,,,,,,
