WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1974;AD Ceuta;Algeciras;0-0;Alfonso García Hernández;Antonio Marín Coll;Manuel Gutiérrez Serrano;Juan Herrero Cabello;Antonio Sánchez Gómez;Rafael Guillén Castañeda;Pedro Núñez López;Francisco Salcedo Bernal;José Ravira Moreno;Demetrio Oliver Sánchez;Emilio Terol Valls;Juan José López Infantes;;;;;;
0;1974;Algeciras;AD Ceuta;0-1;Alfonso García Hernández;Antonio Marín Coll;Manuel Gutiérrez Serrano;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Antonio Sánchez Gómez;Pedro Núñez López;Francisco Salcedo Bernal;Demetrio Oliver Sánchez;José Ravira Moreno;Emilio Terol Valls;Antonio José González Gómez;Ángel Sáez Olmedo;;;;;
0;1975;Jerez Industrial;Algeciras;0-0;Antonio Trigueros de Dios;Manuel Capa Palacios;Manuel Gutiérrez Serrano;Miguel Loza Gallego;Diego Corrales Aragón;Coradino de la Vega Guerrero;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Juan Manuel González Lima;Pedro Núñez López;Javier Ventura Faulon;Luis María Merayo Delgado;Manuel Pineda Caro;;;;;
1;1975;Algeciras;Jerez Industrial;1-0;Antonio Trigueros de Dios;Manuel Gutiérrez Serrano;Manuel Capa Palacios;Miguel Gallego Domínguez;Coradino de la Vega Guerrero;Rafael Guillén Castañeda;Antonio Fernando Tarriño Concejero;Francisco Heredia Fernández;Francisco Salcedo Bernal;Pedro Núñez López;Manuel Pineda Caro;Diego Corrales Aragón;Javier Ventura Faulon;;;;;
0;1975;Algeciras;Burgos;0-1;Antonio Trigueros de Dios;Manuel Gutiérrez Serrano;Miguel Loza Gallego;Manuel Capa Palacios;Coradino de la Vega Guerrero;Miguel Gallego Domínguez;Antonio Fernando Tarriño Concejero;Juan Manuel González Lima;Luis María Merayo Delgado;Pedro Núñez López;Manuel Pineda Caro;Francisco Heredia Fernández;Javier Ventura Faulon;;;;;
0;1975;Burgos;Algeciras;4-0;Antonio Trigueros de Dios;Manuel Gutiérrez Serrano;Manuel Capa Palacios;Miguel Gallego Domínguez;Rafael Guillén Castañeda;Antonio Fernando Tarriño Concejero;Luis María Merayo Delgado;Francisco Salcedo Bernal;Pedro Núñez López;Gonzalo Martínez Olivares;Javier Ventura Faulon;Juan Manuel González Lima;Manuel Pineda Caro;;;;;
0;1976;Racing Portuense;Algeciras;1-1;Antonio Trigueros de Dios;Miguel Loza Gallego;Manuel Camargo Plaza;Manuel Capa Palacios;Juan Herrero Cabello;Rafael Guillén Castañeda;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Salvador Asensio Ruiz;Juan Antonio Belmonte Domínguez;Javier Ventura Faulon;Francisco Heredia Fernández;Domingo Solaegui Urquiri;;;;;
1;1976;Algeciras;Racing Portuense;1-0;Antonio Trigueros de Dios;Manuel Capa Palacios;Manuel Camargo Plaza;Antonio Rivas Sánchez;Juan Herrero Cabello;Francisco Heredia Fernández;Gabriel Saavedra Olea;Salvador Asensio Ruiz;Domingo Solaegui Urquiri;Manuel Pineda Caro;José Antonio Matute Urbano;Javier Ventura Faulon;;;;;;
0;1976;Algeciras;Cádiz;0-0;Nemesio Alonso Álvarez;Manuel Capa Palacios;Antonio Rivas Sánchez;Juan Herrero Cabello;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Salvador Asensio Ruiz;Manuel Pineda Caro;Domingo Solaegui Urquiri;Javier Ventura Faulon;José Antonio Matute Urbano;Francisco Heredia Fernández;José Adolfo López Menéndez;;;;;
0;1976;Cádiz;Algeciras;2-1;Nemesio Alonso Álvarez;Juan Herrero Cabello;Manuel Camargo Plaza;Antonio Rivas Sánchez;Miguel Gallego Domínguez;Francisco Heredia Fernández;Manuel Pérez Jiménez;Manuel Pineda Caro;Juan Antonio Belmonte Domínguez;José Adolfo López Menéndez;Javier Ventura Faulon;;;;;;;
1;1977;Algeciras;Linares CF;3-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Juan Herrero Cabello;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Salvador Asensio Ruiz;José Adolfo López Menéndez;Javier Ventura Faulon;Fernando Abelenda Rosado;Francisco Martínez Caba;;;;;
0;1977;San Andrés;Algeciras;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Salvador Asensio Ruiz;José Adolfo López Menéndez;Javier Ventura Faulon;Francisco Martínez Caba;Fernando Abelenda Rosado;;;;;
0;1977;Moncada;Algeciras;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Miguel Loza Gallego;Manuel Camargo Plaza;Antonio Rivas Sánchez;Manuel Martínez Pérez;Rafael Guillén Castañeda;Luis María Merayo Delgado;Francisco Martínez Caba;José Hidalgo Collado;Javier Ventura Faulon;Miguel Gallego Domínguez;;;;;;
