WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
1,1984,Atlético Astorga,Real Burgos,1-2,Miguel González Bastón,Eduardo García González,Luis Ángel Sicilia Doménech,Juan Antonio Rojo Martín,Enrique de la Viuda Martínez,Carmelo Mardaras Cedrún,José Alberto Ibáñez Martín,Pedro Montero Huerta,José Antonio del Moral Buezo,José Esteban Martín Rodríguez,José Ramón Chavarri Bravo,Pedro Luis Tamayo Tornadijo,José Manuel Molinero Caraballo,,,
1,1984,Real Burgos,Atlético Astorga,5-0,Miguel González Bastón,Luis Ángel Sicilia Doménech,Pedro Luis Tamayo Tornadijo,Enrique de la Viuda Martínez,Juan Antonio Rojo Martín,Carmelo Mardaras Cedrún,José Alberto Ibáñez Martín,Pedro Montero Huerta,José Antonio del Moral Buezo,José Esteban Martín Rodríguez,José Ramón Chavarri Bravo,Eduardo García González,Jesús Sicilia Doménech,,,
1,1984,Real Burgos,Sabadell,1-0,Miguel González Bastón,Luis Ángel Sicilia Doménech,Carmelo Mardaras Cedrún,Juan Antonio Rojo Martín,Pedro Luis Tamayo Tornadijo,Enrique de la Viuda Martínez,Pedro Montero Huerta,José Antonio del Moral Buezo,José Alberto Ibáñez Martín,José Esteban Martín Rodríguez,José Ramón Chavarri Bravo,Eduardo García González,,,,
0,1984,Sabadell,Real Burgos,2-0,Miguel González Bastón,Eduardo García González,Emiliano Ausín Hernando,Carmelo Mardaras Cedrún,Juan Antonio Rojo Martín,Pedro Luis Tamayo Tornadijo,Enrique de la Viuda Martínez,Pedro Montero Huerta,José Antonio del Moral Buezo,Gregorio García Fernández,José Alberto Ibáñez Martín,José Ramón Chavarri Bravo,José Ignacio Roselló Miravete,,,
0,1985,Hospitalet,Real Burgos,2-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Gregorio García Fernández,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
1,1985,Real Burgos,Barcelona Aficionados,2-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,José Antonio Blanco Álvarez,José Alberto Ibáñez Martín,,,
0,1985,Palencia CF,Real Burgos,2-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
0,1985,Valladolid Promesas,Real Burgos,1-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,José Antonio Blanco Álvarez,,,,
1,1985,Real Burgos,Salamanca,2-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Gregorio García Fernández,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,Juan Manuel Mata Rodríguez,José Manuel Molinero Caraballo,,,
1,1985,Compostela,Real Burgos,2-3,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,José Alberto Ibáñez Martín,Miguel Ángel Portugal Vicario,Gregorio García Fernández,Jesús Sicilia Doménech,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,José Antonio del Moral Buezo,José Manuel Molinero Caraballo,,,
