WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1970,Langreo,Córdoba,1-0,Miguel Ángel Molina Pons,Ángel Rodríguez Torres,José Manuel Delgado Rivera,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,José Tomás Escalante Bermejo,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Rafael Alcaide Crespín,Manuel de la Cuesta Martínez,Rafael Cepas Robles,Diego Moreno Gavilán,,,,,,,,,,
1,1970,Córdoba,Onteniente,3-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,Juan Verdugo Pérez,José Rodríguez Martínez,Manuel López Prieto,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Rafael Alcaide Crespín,José Tomás Escalante Bermejo,Manuel de la Cuesta Martínez,,,,,,,,,,
0,1970,Pontevedra,Córdoba,2-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel de la Cuesta Martínez,Manuel Cruz Ortega,Rafael Alcaide Crespín,José Tomás Escalante Bermejo,,,,,,,,,,
1,1970,Córdoba,Logroñés,3-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Ángel Rodríguez Torres,José Tomás Escalante Bermejo,,,,,,,,,,
1,1970,Córdoba,Santander,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Ángel Rodríguez Torres,José Tomás Escalante Bermejo,,,,,,,,,,
0,1970,Ferrol,Córdoba,1-0,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Rafael Alcaide Crespín,Rafael Cepas Robles,Ángel Rodríguez Torres,,,,,,,,,,
1,1970,Córdoba,Rayo Vallecano,4-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Diego Moreno Gavilán,Juan Carlos Rojas Díaz,Antonio Carlos Rodríguez Ribeiro,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,Ángel Rodríguez Torres,José Tomás Escalante Bermejo,,,,,,,,,,
1,1970,Mallorca,Córdoba,0-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,,
1,1970,Córdoba,Villarreal,5-1,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Rafael Cepas Robles,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,,,,,,,,,,,,
0,1970,Oviedo,Córdoba,3-2,Miguel Ángel Molina Pons,José Manuel Delgado Rivera,Ángel Rodríguez Torres,José Rodríguez Martínez,Juan Verdugo Pérez,José Mingorance Chimeno,Manuel López Prieto,Juan Carlos Rojas Díaz,Diego Moreno Gavilán,Manuel Cruz Ortega,Manuel de la Cuesta Martínez,José Tomás Escalante Bermejo,,,,,,,,,,,
