WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1970,Eibar,Cultural Leonesa,0-0,Antonio Gómez Navarro,José Antonio Casas González,José Prieto Valenzuela,Diego Fernández Yebra,José Rodríguez,Constantino Rodríguez Roldán,Julio Piñán Nistal,Raimundo Lorenzo García,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Graciliano Godoy Durán,,,,,,,,,,,,
1,1970,Cultural Leonesa,Eibar,2-0,Antonio Gómez Navarro,Fernando Paredes Fernández,José María González Rodríguez,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Feliciano Llamazares Martínez,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Graciliano Godoy Durán,Diego Fernández Yebra,Raimundo Lorenzo García,,,,,,,,,,
0,1970,Moscardó,Cultural Leonesa,1-0,Antonio Gómez Navarro,José María Hernández Crego,José Prieto Valenzuela,Fernando Paredes Fernández,José María González Rodríguez,Julio Piñán Nistal,Diego Fernández Yebra,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Manuel Ovalle Vidal,Graciliano Godoy Durán,Francisco Javier Larrauri Izquierdo,,,,,,,,,,,
1,1970,Cultural Leonesa,Moscardó,2-0,Antonio Gómez Navarro,José Prieto Valenzuela,Fernando Paredes Fernández,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Feliciano Llamazares Martínez,Manuel Ovalle Vidal,Graciliano Godoy Durán,,,,,,,,,,,,
0,1970,Calella,Cultural Leonesa,4-0,Antonio Gómez Navarro,José María Hernández Crego,José Prieto Valenzuela,Carlos Luis Iglesias Álvarez,José María González Rodríguez,José Antonio Casas González,Diego Fernández Yebra,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Manuel Ovalle Vidal,,,,,,,,,,,,
1,1970,Cultural Leonesa,Calella,2-0,arraz,José Prieto Valenzuela,Carlos Luis Iglesias Álvarez,José María González Rodríguez,José Antonio Casas González,José Rodríguez,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Diego Fernández Yebra,,,,,,,,,,,
1,1971,Cultural Leonesa,Langreo,3-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Fernando Paredes Fernández,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,,,,,,,,,,,,
1,1971,Ferrol,Cultural Leonesa,0-3,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Fernando Paredes Fernández,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,,,,,,,,,,,,
1,1971,Cultural Leonesa,Hércules,2-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Fernando Paredes Fernández,José Prieto Valenzuela,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Feliciano Llamazares Martínez,,,,,,,,,,,
0,1971,Villarreal,Cultural Leonesa,3-1,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Fernando Paredes Fernández,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Herminio González Otero,Feliciano Llamazares Martínez,,,,,,,,,,
1,1971,Cultural Leonesa,Logroñés,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,José María González Rodríguez,Fernando Paredes Fernández,Francisco Javier Larrauri Izquierdo,Julio Piñán Nistal,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Manuel Ovalle Vidal,Feliciano Llamazares Martínez,José Prieto Valenzuela,,,,,,,,,,
