WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1970;Vetusta;Mirandés;1-1;José Antonio Aramayo Lazcano;Fernando Ramos Casado;José María Lopetegui Bacaicoa;Joaquín Zabalza Yoldi;Francisco Javier Mendívil Lizaara;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;José Luis Baroja Izquierdo;Andrés Euba Martínez;Miguel Ángel Pérez Navares;Juan Carlos Piñuela Heredia;Manuel Tolosana;José Antonio Eguaras Vizcay;;;;;
0;1970;Mirandés;Vetusta;1-1;José Antonio Aramayo Lazcano;José Antonio Eguaras Vizcay;José María Lopetegui Bacaicoa;Joaquín Zabalza Yoldi;José Luis Erro García;José Miguel López Pagalday;José María Fernández de Arroyabe Araquistain;Ricardo López Valladar;Andrés Euba Martínez;Miguel Ángel Pérez Navares;Juan Carlos Piñuela Heredia;Francisco Javier Mendívil Lizaara;Manuel Tolosana;;;;;
0;1970;Sevilla Atlético;Mirandés;3-1;José Antonio Aramayo Lazcano;José Antonio Muñoz Serrano;Fernando Ramos Casado;José Antonio Eguaras Vizcay;Victoriano Mena Luque;José Luis Erro García;Francisco Javier Mendívil Lizaara;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;Manuel Tolosana;Juan Carlos Piñuela Heredia;José Luis Baroja Izquierdo;;;;;;
1;1970;Mirandés;Sevilla Atlético;4-1;José Antonio Aramayo Lazcano;José Antonio Muñoz Serrano;Fernando Ramos Casado;Joaquín Zabalza Yoldi;Victoriano Mena Luque;José Luis Erro García;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;Ángel Díaz Lafuente;Federico Magaña Izco;Andrés Euba Martínez;José Luis Baroja Izquierdo;José Miguel López Pagalday;;;;;
0;1970;Logroñés;Mirandés;4-2;José Antonio Aramayo Lazcano;José Antonio Muñoz Serrano;Fernando Ramos Casado;José Antonio Eguaras Vizcay;Victoriano Mena Luque;José Luis Erro García;Ricardo López Valladar;José María Fernández de Arroyabe Araquistain;Andrés Euba Martínez;Federico Magaña Izco;Juan Carlos Piñuela Heredia;José Luis Baroja Izquierdo;José María Lopetegui Bacaicoa;;;;;
0;1970;Mirandés;Logroñés;1-1;José Antonio Aramayo Lazcano;Fernando Ramos Casado;José Antonio Eguaras Vizcay;José Luis Erro García;Ricardo López Valladar;José Luis Baroja Izquierdo;José María Fernández de Arroyabe Araquistain;Ángel Díaz Lafuente;Manuel Tolosana;Federico Magaña Izco;Andrés Euba Martínez;Joaquín Zabalza Yoldi;Francisco Javier Mendívil Lizaara;;;;;
1;1971;Mirandés;Alavés;4-2;José Miguel Ibarrondo Madariaga;Fernando Ramos Casado;José María Lopetegui Bacaicoa;Carmelo Andueza San Martín;José María Olleta Sánchez;Eduardo Compostizo Echevarria;Ricardo López Valladar;José Ramón Sanz Domeño;José María Fernández de Arroyabe Araquistain;Benito Alonso Frechilla;Luis María Muñoz Villafáfila;Luis María Sáez de Eguilaz Legarda;Agustín Domínguez Braco;;;;;
1;1971;Alavés;Mirandés;0-2;José Miguel Ibarrondo Madariaga;Fernando Ramos Casado;Luis María Sáez de Eguilaz Legarda;Carmelo Andueza San Martín;José María Olleta Sánchez;Eduardo Compostizo Echevarria;Ricardo López Valladar;Agustín Domínguez Braco;José María Fernández de Arroyabe Araquistain;Benito Alonso Frechilla;Luis María Muñoz Villafáfila;;;;;;;
0;1971;Eibar;Mirandés;3-1;José Miguel Ibarrondo Madariaga;Fernando Ramos Casado;Carmelo Andueza San Martín;José Ramón Sanz Domeño;José María Fernández de Arroyabe Araquistain;José María Olleta Sánchez;Benito Alonso Frechilla;Miguel Ángel Aranguren Arizcuren;Luis María Muñoz Villafáfila;Miguel Ángel Pérez Navares;Agustín Domínguez Braco;José Luis Baroja Izquierdo;;;;;;
1;1971;Mirandés;Eibar;2-1;José Miguel Ibarrondo Madariaga;Fernando Ramos Casado;José María Lopetegui Bacaicoa;Luis María Sáez de Eguilaz Legarda;José María Olleta Sánchez;Carmelo Andueza San Martín;José Ramón Sanz Domeño;Benito Alonso Frechilla;Luis María Muñoz Villafáfila;Miguel Ángel Pérez Navares;José Luis Baroja Izquierdo;Miguel Ángel Aranguren Arizcuren;;;;;;
0;1972;Sestao;Mirandés;1-1;Víctor Urquiaga Larrea;Luis María Sáez de Eguilaz Legarda;José María Lopetegui Bacaicoa;Miguel Egüés Latasa;Carmelo Andueza San Martín;Ricardo López Valladar;José Ramón Sanz Domeño;Miguel Ángel Pérez Navares;Domingo Martínez Echevarría;Miguel Ángel Rupérez Durá;Jesús Martínez Albaina;Juan Antonio Amutio Subero;;;;;;
0;1972;Mirandés;Sestao;1-2;Víctor Urquiaga Larrea;Fernando Ramos Casado;Luis María Sáez de Eguilaz Legarda;Carmelo Andueza San Martín;Juan Antonio Amutio Subero;Ricardo López Valladar;José María Olleta Sánchez;José María Fernández de Arroyabe Araquistain;Francisco Javier Urra Huarte;José María Azkue Aizpurua;Miguel Ángel Rupérez Durá;José María Lopetegui Bacaicoa;;;;;;
1;1973;Mirandés;Bilbao Athletic;1-0;José Muñoz Sarasola;Eusebio García Méndez;Ángel María Arguiñano Casasola;Francisco Javier Echave Echegoyen;Miguel Egüés Latasa;Eduardo Compostizo Echevarria;José Ramón Sanz Domeño;José María Zuza Arteaga;Francisco Javier Urra Huarte;Miguel Ángel Pérez Navares;Francisco Solanas Larburu;Miguel Ángel Cortabarría Mendiola;Carmelo Andueza San Martín;;;;;
0;1973;Bilbao Athletic;Mirandés;0-0;José Muñoz Sarasola;Francisco Javier Echave Echegoyen;Ángel María Arguiñano Casasola;Miguel Egüés Latasa;Pedro Montoya Ruiz;Carlos Sorondo Vidaor;Carmelo Andueza San Martín;José María Zuza Arteaga;Miguel Ángel Cortabarría Mendiola;Francisco Solanas Larburu;Francisco Usabiaga Suquía;José Ramón Sanz Domeño;Francisco Javier Urra Huarte;;;;;
0;1973;Logroñés;Mirandés;2-0;José Muñoz Sarasola;Eusebio García Méndez;Ángel María Arguiñano Casasola;Francisco Javier Echave Echegoyen;Miguel Egüés Latasa;Carlos Sorondo Vidaor;Carmelo Andueza San Martín;José María Zuza Arteaga;Francisco Solanas Larburu;Rafael Ventosa Fernández;Francisco Usabiaga Suquía;José Ramón Sanz Domeño;;;;;;
