WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1978;Numancia;Burgos;2-1;Carlos Gil;José Miguel Blázquez;Pablo Mena Sánchez;José Luis Carazo Crespo;Antonio Rueda Piñero;Ramón Núñez Oller;omas;uan;Jaime Fernández Marín;Cristóbal Machín Fernández de la Puente;Francisco Machín Fernández de la Puente;Luis Jesús Quer de las Heras;;;;;;
0;1978;Burgos;Numancia;3-0;Alfonso Ortega;Pablo Mena Sánchez;Patricio Mata Núñez;José Luis Carazo Crespo;Antonio Rueda Piñero;Ramón Núñez Oller;Fernando Sierra Rodrigo;omas;Juan Antonio Rubalcaba Díaz;Cristóbal Machín Fernández de la Puente;Francisco Machín Fernández de la Puente;Luis Jesús Quer de las Heras;uan;;;;;
0;1979;Getafe Deportivo;Numancia;6-0;Juan del Río Blas;Javier Morales Pedreño;Antonio Rueda Piñero;Rafael Jiménez Ciudad;Patricio Mata Núñez;Ramón Núñez Oller;José Luis Botana Pérez;Fernando Sierra Rodrigo;Juan Antonio Rubalcaba Díaz;Luis Jesús Quer de las Heras;Jesús San Miguel Lallana;;;;;;;
0;1979;Numancia;Getafe Deportivo;1-5;Juan Antonio Martín Martínez;Javier Morales Pedreño;Patricio Mata Núñez;Rafael Jiménez Ciudad;Antonio Rueda Piñero;Lorenzo Manuel Antolínez Remesal;José Luis Botana Pérez;Luis Jesús Quer de las Heras;Miguel Ángel Lamana Tovar;Luis García Rivera;;;;;;;;
0;1982;Numancia;Deportivo Aragón;1-3;Juan Antonio Martín Martínez;Paulino Eduardo Herrero Amat;Luis de Miguel de Miguel;Chus Martínez González;Román Francisco López Carnicero;Francisco López Reina;Pedro Luis Real García-Gasco;Marcial de Gracia Muñoz;Antonio Chaves Jiménez;Luis García Rivera;Luis Bombín;Tomás Martínez Tejero;;;;;;
0;1982;Deportivo Aragón;Numancia;5-1;Luis de Miguel de Miguel;Román Francisco López Carnicero;José Ramírez Izquierdo;Marcial de Gracia Muñoz;Pedro Luis Real García-Gasco;Luis Bombín;Luis García Rivera;Celestino Vallejo de Miguel;Francisco López Reina;Chus Martínez González;;;;;;;;
0;1984;Numancia;Osasuna;1-3;Germán Suárez Agustín;Eduardo Román del Cerro;Tomás Martínez Tejero;Patricio Mata Núñez;José Ramírez Izquierdo;Román Francisco López Carnicero;Jesús Jadraque Antón;Marcial de Gracia Muñoz;Pedro Luis Real García-Gasco;José Antonio Lucas Santolaya;Paulino Ángel Espuelas Hernández;Paulino Eduardo Herrero Amat;;;;;;
0;1984;Osasuna;Numancia;7-1;Juan Antonio Martín Martínez;Paulino Eduardo Herrero Amat;Tomás Martínez Tejero;Luis de Miguel de Miguel;Patricio Mata Núñez;Román Francisco López Carnicero;Marcial de Gracia Muñoz;Pedro Luis Real García-Gasco;Javier García Palafox;Paulino Ángel Espuelas Hernández;José Antonio Lucas Santolaya;José Ramírez Izquierdo;;;;;;
0;1989;Numancia;Osasuna Promesas;1-2;José Luis Melo Peña;Tomás Martínez Tejero;Cristóbal Rodríguez Hidalgo;Chus Martínez González;José Rojo Martín;Carlos Rodríguez Monzón;Juan Félix Polvorosa Tejada;Fernando Fierro López;Juan Carlos Pérez Olano;Raúl Ortiz de Urbina Villapún;José Antonio Lucas Santolaya;José Ángel Fernández Aláez;Valentín Arche Romero;;;;;
0;1989;Cultural de Durango;Numancia;1-0;José Luis Melo Peña;Federico Castaños Martínez;Francisco Rodríguez Gutiérrez;Tomás Martínez Tejero;Chus Martínez González;José Rojo Martín;Fernando Fierro López;Juan Félix Polvorosa Tejada;Juan Carlos Pérez Olano;Raúl Ortiz de Urbina Villapún;José Antonio Lucas Santolaya;José Ángel Fernández Aláez;Carlos Rodríguez Monzón;;;;;
