WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,
1,1970,Paiporta,Xerez,0-1,Andrés Rodríguez Serrano,Manuel Prieto Valenzuela,Julio Murga Gutiérrez,José Manuel Caraballo Cabeza,José Parra Espinar,Antonio Jesús Vera Palmés,Rafael Díaz Jaén,Cristóbal Becerra Ramírez,Rafael Sánchez del Pozo,José Sánchez Benítez,José Ravelo Rodríguez,Hilario Velasco Buendía,Juan Maldonado Martín,,,,,,,,,
0,1970,Xerez,Paiporta,0-0,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,Julio Murga Gutiérrez,José Manuel Caraballo Cabeza,José Parra Espinar,Rafael Sánchez del Pozo,José Sánchez Benítez,Manuel Mendoza Darias,Antonio Jesús Vera Palmés,José Ravelo Rodríguez,Hilario Velasco Buendía,,,,,,,,,,
1,1970,Xerez,Sestao,1-0,Andrés Rodríguez Serrano,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,Julio Murga Gutiérrez,José Parra Espinar,Juan Maldonado Martín,Antonio Jesús Vera Palmés,Manuel Mendoza Darias,José Sánchez Benítez,Antonio Ramos Viqueira,José Ravelo Rodríguez,Manuel Serrano Pichardo,Hilario Velasco Buendía,,,,,,,,,
1,1970,Sestao,Xerez,1-2,Manuel Serrano Pichardo,Ernesto Fernández Pérez,Julio Murga Gutiérrez,José Parra Espinar,Rafael Díaz Jaén,Antonio Jesús Vera Palmés,Manuel Mendoza Darias,José Sánchez Benítez,Antonio Ramos Viqueira,José Ravelo Rodríguez,Juan Maldonado Martín,Hilario Velasco Buendía,,,,,,,,,,
0,1970,Calvo Sotelo,Xerez,2-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Julio Murga Gutiérrez,José Parra Espinar,Rafael Sánchez del Pozo,Rafael Díaz Jaén,Manuel Mendoza Darias,Manuel Peña Benítez,Antonio Ramos Viqueira,José Sánchez Benítez,José Ravelo Rodríguez,,,,,,,,,,,
0,1970,Xerez,Calvo Sotelo,1-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Ernesto Fernández Pérez,Julio Murga Gutiérrez,José Parra Espinar,Rafael Sánchez del Pozo,Antonio Jesús Vera Palmés,Manuel Mendoza Darias,José Sánchez Benítez,Antonio Ramos Viqueira,José Ravelo Rodríguez,Rafael Díaz Jaén,,,,,,,,,,
0,1971,Oviedo,Xerez,2-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Eduardo Beigveder Merino,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Rafael Verdú Beramendi,Francisco Jiménez Martín,José Luis Domínguez Pérez,José Sánchez Benítez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Ernesto Fernández Pérez,Rafael Guillén Castañeda,,,,,,,,,
0,1971,Xerez,Elche,1-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,José Parra Espinar,Eduardo Beigveder Merino,Matías Miguel Tugores Ferrer,Eduardo González Ruiz,Rafael Verdú Beramendi,Francisco Jiménez Martín,José Luis Domínguez Pérez,Rafael Sánchez del Pozo,José Ravelo Rodríguez,Ernesto Fernández Pérez,José Sánchez Benítez,,,,,,,,,
1,1971,Santander,Xerez,0-1,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Rafael Verdú Beramendi,José Parra Espinar,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Luis Domínguez Pérez,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Eduardo Beigveder Merino,,,,,,,,,
0,1971,Xerez,Castellón,0-2,Manuel Serrano Pichardo,Manuel Prieto Valenzuela,Rafael Verdú Beramendi,José Parra Espinar,Eduardo González Ruiz,Matías Miguel Tugores Ferrer,Francisco Jiménez Martín,José Luis Domínguez Pérez,Francisco Ortiz de Zárate Ruiz,Rafael Sánchez del Pozo,José Ravelo Rodríguez,José Sánchez Benítez,Eduardo Beigveder Merino,,,,,,,,,
